Chrom	Start	End	Strand	GSC Myeloid Panel	ICC/WHO?	UHN Myeloid Panel	Illumina TrueSight Myeloid Panel	LOD list	Gene name	Description	Tier	FDA-approved drugs (OncoKB)	WHO classification	ICC classification	Most common fusion	Partner genes/ variants	Typical clinical and BM manifestations	Targeted therapy	Disease	Prognosis	Additional cytogenetics
chr15	90083044	90102468	minus	Core	No	Yes	Yes	No	IDH2	GOF	1A for MDS ior MPN, 3A for AML	Enasidenib	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	IDH2 mutations are identified in 10-20% of AML cases, <5% of MDS cases, and <5% of MPN cases. The IDH2 inhibitor enasidenib has been withdrawn from Health Canada for relapsed/refractory AML as of 30 June 2023 following Phase 3 clinical trials (https://recalls-rappels.canada.ca/en/alert-recall/idhifa-enasidenib-mesylate-market-withdrawal-and-continued-access; NCCN Guidelines - AML 2023). IDH2 mutations have been associated with inferior outcomes. This notwithstanding, there is emerging data demonstrating the effectiveness of enasidenib in IDH2 mutated MDS (NCCN Guidelines - MDS v1.2023). IDH2 mutations in PV and ET are associated with inferior overall survival and in PMF with inferior leukemia-free survival and leukemic transformation (NCCN Guidelines - MPN 2022).	NA
chr7	50304715	50405101	plus	Expanded	No	Yes	Yes	Yes	IKZF1	LOFminush	3A	None	NA	NA	NA	NA	NA	NA	NA	IKZF1 mutation is one rare but recurrent alteration in AML but the clinical impact of IKZF1 mutation on AML remains undefined (PMID: 33081843).	NA
chr5	132481608	132490773	minus	No	No	Yes	No	No	IRF1	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	64833228	65067746	minus	No	No	Yes	No	No	JAK1	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9	4984390	5129948	plus	Core	Yes	Yes	Yes	No	JAK2	GOF, FUS	1A	None	Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions, (WHO, PMID: 35732831).	Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions; myeloid/lymphoid neoplasm with JAK2 rearrangement, (ICC, PMID: 35767897).	t(8;9)(p22;p24.1)/ PCM1::JAK2	ETV6, BCR, PCM1	Common: MPN or MDS/MPNlike BM with eosinophilia	Limited responses to ruxolitinib	NA	Optical Genome Mapping detected a translocation t(9;12)(p24;p13), t(9;22)(p24;q11.2), or t(8;9)(p22;p24.1) with the JAK2 gene (9p24.1) with a variant allele frequency of ___. The ETV6::JAK2, BCR::JAK2, or PCM1::JAK2 fusion is a rare, but recurrent rearrangement seen in myeloid and lymphoid neoplasia with eosinophilia and may respond to targeted therapy (limited response to ruxolitib). The BCR fusion is oncogenic, PCM1 is likely oncogenic and ETV6 is unknown.	NA
chr19	17824781	17847982	minus	No	No	Yes	Yes	No	JAK3	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9	504694	746103	plus	No	No	Yes	No	No	KANK1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	41929478	42051987	minus	No	No	Yes	No	No	KAT6A	FUS	1A if fused to CREBBP, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(8;16)(p11.2;p13.3) with a variant allele frequency (VAF) of [%]. The t(8;16)(p11.2;p13.3) is a rare, recurrent abnormality resulting in a KAT6A::CREBBP fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). KAT6A::CREBBP associated with adverse risk category (ELN, PMID: 35797463).	NA
chrX	44873188	45112779	plus	Core	No	No	Yes	Yes	KDM6A	NA	3A	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	KDM6A mutations are identified in approximately 2% of AML cases (COSMIC), 1-2% of MDS cases and is rarely identified in MPN. The predictive and prognostic significance of KDM6A mutations in AML, MDS and MPN remain uncertain.	NA
chr10	32009014	32056425	minus	No	No	Yes	No	No	KIF5B	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4	54657956	54740715	plus	Core	No	Yes	Yes	No	KIT	GOF	2 for AML, 3A for MDS and MPN	Avapritinib	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	KIT mutations are identified in ~20% of CBF-AML (DiNardo (2016) PMID:27913501) and are infrequent in MDS and MPN. A meta-analysis of CBF AML showed that a KIT mutation in patients with t(8;21), but not inv(16), was associated with an increased risk of relapse and shorter OS (Chen (2016) PMID: 26771376). Nevertheless, 2017 ELN guidelines indicate that KIT mutation status should not be used to assign a patient to a different genetic risk category (Dohner (2017) PMID: 27895058). The predictive and prognostic significance of KIT mutations in MDS and MPN remains uncertain	NA
chr11	118436456	118526832	plus	Core	Yes	Yes	No	Yes	KMT2A	GOF, FUS	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with KMT2A rearrangement, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with t(9;11)(p21.3;q23.3)/MLLT3::KMT2A = 10%. Classification of AML with percentage of blasts required for diagnosis; AML with other KMT2A rearrangements† = 10%, (ICC, PMID: 35767897).	AFF1, AFDN, MLLT3, MLLT10, TET1, ELL, MLLT1	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a t(v;11q23.3)/KMT2A-rearrangement associated with _____ risk category in the context of AML based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. Over 100 KMT2A fusion partners have been described where the seven most frequent translocation partners account for more than 90% of all recombinations of the KMT2A, 37 occur recurrently and 63 were identified so far only once (PMID: 37019990). AFF1, AFDN, MLLT10, TET1, ELL and MLLT1 fusion partners are associated with adverse risk categorization whereas MLLT3 is associacted with intermediate risk (ELN, PMID: 35797463). The presence of t(9;11)(p21.3;q23.3) MLLT3::KMT2A takes precedence over rare, concurrent adverse risk gene mutations. t(v;11q23.3)/KMT2A-rearrangement is associated with adverse risk category excluding KMT2A partial tandem duplication (PTD)(ELN, PMID: 35797463).	NA
chr12	25205245	25250929	minus	Core	No	Yes	Yes	No	KRAS	GOF	1B for MDS and MPN, 3A for AML	Adagrasib	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	RAS mutations are identified in ~6% of AML patients (Metzeler (2016) PMID:27288520), 1-2% of MDS patients with a higher frequency in JMML patients (10-15%) (NCCN Guidelines - MDS 2023), and 6% of MPN cases. KRAS mutations have not been found to be a significant prognostic marker in AML but are associated with poor outcome in MDS and MPN (PMID:30194935, PMID:21220588, PMID:28223278, PMID:31628430).	NA
chr3	169083499	169663775	minus	Expanded	Yes	Yes	No	No	MECOM	FUS	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with MECOM rearrangement, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2)/GATA2; MECOM(EVI1) = 10%. Classification of AML with percentage of blasts required for diagnosis; AML with other MECOM rearrangements‡ = 10%, (ICC, PMID: 35767897).	GATA2, MYC, ETV6, RUNX1	NA	NA	NA	AML	Optical Genome Mapping detected a t(3;8)(q26.2;q24.2), t(3;12)(q26.2;p13.2), t(3;21)(q26.2;q22.1), inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2). This is a recurrent abnormality resulting in a GATA2::MECOM(EVI1), MYC::MECOM, ETV6::MECOM, RUNX1::MECOM or novel t(3q26.2;v)/MECOM(EVI1)-rearrangement associated with adverse risk category (ELN, PMID: 35797463)	NA
chr1	156463727	156500779	minus	No	Yes	Yes	No	No	MEF2D	Gene rearrangement	1A	None	Classification of B-ALL , (WHO, PMID: 35732831).	B-ALL with MEF2D rearrangement, (ICC, PMID: 35767897).	BCL9, HNRNPUL1	NA	NA	NA	NA	Poor	NA
chr3	158571193	158606456	plus	No	No	Yes	No	No	MLF1	FUS	1A if fused to NPM1, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(3;5)(q25.3;q35.1) with a variant allele frequency (VAF) of [%]. This is a rare, recurrent abnormality resulting in a NPM1::MLF1 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (ICC, PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr19	6210380	6279975	minus	No	No	Yes	No	No	MLLT1	FUS	1A if fused to KMT2A, otherwise 3A	None	NA	NA	KMT2A	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(11;19)(q23.3;p13.3) with a variant allele frequency (VAF) of [%]. The t(11;19)(q23.3;p13.3) is a recurrent abnormality resulting in a MLLT1::KMT2A fusion. In the context of AML it is considered to have a adverse favorable prognosis according to the ELN 2022 (PMID: 35797463).	NA
chr10	21534231	21743630	plus	No	No	Yes	No	Yes	MLLT10	FUS	1A if fused to KMT2A or PICALM, otherwise 3A	None	NA	NA	KMT2A, PICALM	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(10;11)(p12.3;q23.3) or t(10;11)(p12.3;q14.2) with a variant allele frequency (VAF) of [%]. The t(10;11)(p12.3;q23.3) is a recurrent abnormality resulting in a MLLT10::KMT2A fusion. The t(10;11)(p12.3;q14.2) is a rare, recurrent abnormality resulting in a PICALM::MLLT10 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). In the context of AML, MLLT10::KMT2A fusion is considered to have a adverse favorable prognosis according to the ELN 2022, the PICALM::MLLT10 fusion has an unclear prognosis due to its rarity (PMID: 35797463).	NA
chr9	20341669	20622499	minus	No	Yes	Yes	No	No	MLLT3	Gene fusion	1A if fused to KMT2A, otherwise 3A	None	NA	Classification of AML with percentage of blasts required for diagnosis; AML with t(9;11)(p21.3;q23.3)/MLLT3::KMT2A = 10%, (ICC, PMID: 35767897).	KMT2A	NA	NA	NA	AML	Optical Genome Mapping detected a t(9;11)(p21.3;q23.3)/MLLT3::KMT2A associated with interemediate risk category in the context of AML based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. The presence of t(9;11)(p21.3;q23.3) takes precedence over rare, concurrent adverserisk gene mutations. (ELN, PMID: 35797463)	NA
chr1	43337817	43354466	plus	Core	No	Yes	Yes	No	MPL	GOFminush	1A for MPN, 3A for MDS and AML	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	MPL activating mutations are rarely identified in AML cases. The predictive and prognostic significance of MPL mutations in AML remain uncertain. MPL mutations are identified in <5% of MDS patients and are often identified in combination with SF3B1 in MDS/MPN with ring sideroblasts and thrombocytosis (NCCN Guidelines - MDS 2023). Activating MPL mutations are identified in 5-8% of PMF patients and 1-4% of ET patients and are a major diagnostic criterion for these diseases (NCCN Guidelines - MPN 2023).	NA
chr22	40410281	40636719	minus	No	Yes	Yes	No	No	MRTFA	Gene fusion	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with RBM15::MRTFA fusion, (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	NA	NA	NA
chr6	135181307	135219172	plus	No	No	Yes	No	No	MYB	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	127735434	127742951	plus	No	Yes	Yes	No	No	MYC	Mutated gene	1A	None	NA	Classification of B-ALL ;B-ALL with MYC rearrangement, (ICC, PMID: 35767897).	IGH, MECOM	NA	NA	NA	NA	Optical Genome Mapping detected a t(3;8)(q26.2;q24.2). This is a recurrent abnormality resulting in a MYC::MECOM fusion associated with adverse risk category in AML (ELN, PMID: 35797463)	NA
chr3	38138660	38143022	plus	No	No	Yes	Yes	No	MYD88	GOFminush	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr16	15703135	15857028	minus	No	Yes	Yes	No	No	MYH11	Gene fusion	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with CBFB::MYH11 fusion, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22)/CBFB::MYH11 = 10%, (ICC, PMID: 35767897).	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation inv(16)(p13.1q22) or t(16;16)(p13.1;q22) which is a recurrent abnormality resulting in a CBFB::MYH11 fusion. In the context of AML it is considered to have a favourable favorable prognosis mainly based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. Concurrent KIT and/or FLT3 gene mutation does not alter risk categorization (ELN, PMID: 35797463)	NA
chr1	58654744	58700062	minus	Expanded	No	No	No	No	MYSM1	Exon, 16	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	31094926	31377677	plus	Expanded	No	Yes	No	Yes	NF1	LOF	3A	Selumetinib	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	NF1 mutations are identified in ~5% of AML cases. The predictive and prognostic significance of NF1 mutations in AML remain uncertain. NF1 mutations are identified in ~5% of MDS cases. The predictive and prognostic significance of NF1 mutations in MDS remain uncertain. NF1 mutations are identified in ~5% of MPN cases. The predictive and prognostic significance of NF1 mutations in MPN remain uncertain.	NA
chr12	54292110	54295758	minus	No	No	Yes	No	No	NFE2	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	50719762	50831162	minus	No	No	Yes	No	No	NIN	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9	136494432	136546048	minus	No	No	Yes	Yes	No	NOTCH1	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5	171387116	171411810	plus	Core	Yes	Yes	Yes	No	NPM1	Mutated gene	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with NPM1 mutation, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with mutated NPM1 = 10%, (ICC, PMID: 35767897).	RARA, TYK2, MLF1	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(5;17)(q35.1;q21.2), t(5;19)(q35;p13) or t(3;5)(q25.3;q35.1) with a variant allele frequency (VAF) of [%]. This is a rare, recurrent abnormality resulting in a NPM1::RARA, NPM1::TYK2 or NPM1::MLF1 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (ICC, PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear. Mutated NPM1 without FLT3-ITD has favourable risk category based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. Mutated NPM1 with FLT3-ITD associated with intermediate risk category based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. AML with NPM1 mutation and adverse-risk cytogenetic abnormalities are categorized as adverse-risk. (ELN, PMID: 35797463)	NA
chr1	114704468	114716771	minus	Core	No	Yes	Yes	No	NRAS	GOF	1B for MDS and MPN, 3A for adult AML	Panitumumab, Panitumumab + Chemotherapy	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	NRAS mutations have been identified in 13-14% of AML patients. In adult AML, NRAS mutations have not been found to be a significant prognostic marker, however, they have been associated with an adverse prognosis in pediatric AML (Liu (2018) PMID:30194935). RAS mutations have been identified in 5-10% of MDS patients, with a higher frequency in CMML and JMML patients (~15%). In MDS, RAS mutations are associated with an inferior outcome (NCCN Guidelines - MDS 2023). . NRAS mutations have been identified in 6% of MPN cases. In MF, RAS mutations have been associated with inferior outcomes (Santos (2020) PMID: 31628430).	NA
chr5	177133772	177300213	plus	No	No	Yes	No	No	NSD1	FUS	1A if fused to NUP98, otherwise 3A	None	NA	NA	NUP98	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(5;11)(q35.2;p15.4) with a variant allele frequency (VAF) of [%]. The t(5;11)(q35.2;p15.4) is a rare, recurrent abnormality resulting in a NUP98::NSD1 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr15	87859750	88256739	minus	No	No	Yes	No	No	NTRK3	FUS	2	Larotrectinib	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9	131125573	131234663	plus	No	Yes	Yes	No	No	NUP214	Gene fusion	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with DEK::NUP214 fusion, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with t(6;9)(p22.3;q34.1)/DEK::NUP214 = 10%, (ICC, PMID: 35767897).	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(6;9)(p22.3;q34.1) with a variant allele frequency (VAF) of [%]. The t(6;9)(p22.3;q34.1) is a recurrent abnormality resulting in a DEK::NUP214 fusion. In the context of AML it is considered to have a adverse prognosis according to the ELN 2022 (PMID: 35797463).	NA
chr11	3671083	3797792	minus	No	Yes	No	No	No	NUP98	Gene rearrangement	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with NUP98 rearrangement, (WHO, PMID: 35732831).	NA	NSD1, KMD5A	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(11;12)(p15.4;p13.3), t(5;11)(q35.2;p15.4), or t(11;v)(p15.4;v) with a variant allele frequency (VAF) of [%]. This is a rare, recurrent abnormality resulting in a NUP98::KMD5A or NUP98::NSD1 or NUP98::v fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr15	34343315	34357737	plus	No	Yes	Yes	No	No	NUTM1	Gene rearrangement	2	None	NA	Classification of B-ALL; B-ALL with NUTM1 rearrangement, (ICC, PMID: 35767897).	ACIN1, ZNF618, BRD9, IKZF1, CUX1	NA	NA	NA	NA	Good	NA
chrX	1462580	1537185	minus	No	No	Yes	No	No	P2RY8_chrX	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrY	1462580	1537185	minus	No	No	Yes	No	No	P2RY8_chrY	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9	36833269	37034268	minus	Expanded	Yes	Yes	No	No	PAX5	Mutated gene	1A	None	NA	Acute lymphoblastic leukemia with germline predisposition* ; Acute lymphoblastic leukemia with germline PAX5 mutation, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chr1	164555584	164899296	plus	No	Yes	Yes	No	No	PBX1	Gene fusion	1A if fused with TCF3, otherwise 3A	None	NA	B-ALL with t(1;19)(q23.3;p13.3)/TCF3::PBX1, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chr8	17922987	18029948	plus	No	No	Yes	No	No	PCM1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	148844427	149033016	plus	No	No	Yes	No	No	PDE4DIP	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4	54229280	54298245	plus	No	Yes	Yes	Yes	Yes	PDGFRA	Gene rearrangement	1A	Imatinib	NA	Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusion; Myeloid/lymphoid neoplasm with PDGFRA rearrangement, (ICC, PMID: 35767897).	Cryptic deletion at 4q12/ FIP1L1::PDGFRA	CDK5RAP2; STRN; KIF5B; TNKS2; ETV6, BCR	Common: CEL-like BM with frequent extramedullary involvement	Excellent response to TKI	NA	Optical Genome Mapping detected a translocation or deletion of the PDGFRA gene (4q12) with the CDK5RAP2, STRN, FIP1L1, KIF5B, TNKS2, ETV6, or BCR gene with a variant allele frequency of ___. The CDK5RAP2::PDGFRA, STRN::PDGFRA, FIP1L1::PDGFRA, KIF5B::PDGFRA, TNKS2::PDGFRA, ETV6::PDGFRA, or BCR::PDGFRA fusion is a recurrent rearrangement seen in myeloid and lymphoid neoplasia with eosinophilia and will likely respond well to tyrosine kinase inhibitors. This fusion is likely oncogenic (except for TNKS2::PDGFRA) and has a likely gain of function mutation effect (PMID: 35767897).	NA
chr5	150113839	150155872	minus	No	Yes	Yes	No	No	PDGFRB	Gene rearrangement	1A	Imatinib	NA	Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions; Myeloid/lymphoid neoplasm with PDGFRB rearrangement, (ICC, PMID: 35767897).	t(5;12)(q32;p13.2)/ ETV6::PDGFRB	>30 partners (ETV6, PDE4DIP, TPM3, SPTBN1, GOLGA4, WDR48, GOLGB1, PRKG2, CD74, TNIP1, HECW1, HIP1, KANK1, CCDC6, CAPRIN1, ERC1, BIN2, SART3, GIT2, NIN, CCDC88C, TRIP11, TP53BP1, NDE1, RABEP1, MPRIP, SPECC1, MYO18A, COL1A1, DTD1, ZMYND8)	Common: CEL-like or monocytosis with eosinophilia	Excellent response to TKI	NA	Optical Genome Mapping detected a _______ translocation resulting in a ______::PDGFRB fusion gene with a variant allele frequency of []. The ____::PDGFRB fusion is a recurrent rearrangement seen in myeloid and lymphoid neoplasia with eosinophilia and will likely respond well to tyrosine kinase inhibitors (PMID: 35767897).	NA
chrX	134373311	134428790	plus	Core	No	Yes	Yes	Yes	PHF6	LOF	3A	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	PHF6 loss-of-function mutations are identified in approximately 3% of AML cases (Todd (2015) PMID:26103525) but are reported to be more frequent in mixed phenotype acute leukemias (Xiao (2018) PMID:30530780). The predictive and prognostic significance of PHF6 mutations in AML remain uncertain (Mori (2016) PMID:27479181). PHF6 loss-of-function mutations are identified in less than 5% of MDS cases. In MDS, PHF6 mutations are more frequent in cases with excess blasts but are not reported to be independently prognostic (NCCN Guidelines - MDS 2023). PHF6 loss-of-function mutations are identified in approximately 1% of MPN cases. The predictive and prognostic significance of PHF6 mutations in MPN remain uncertain (Mori (2016) PMID:27479181).	NA
chr11	85957174	86069084	minus	No	No	Yes	No	No	PICALM	FUS	1A if fused with MLLT10, otherwise 3A	None	NA	NA	MLLT10	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(10;11)(p12.3;q14.2) with a variant allele frequency (VAF) of [%]. The t(10;11)(p12.3;q14.2) is a rare, recurrent abnormality resulting in a PICALM::MLLT10 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chrX	15319451	15335554	minus	Core	No	No	No	No	PIGA	NA	2	None	NA	NA	NA	NA	NA	NA	MDS	Pathogenic variants in PIGA alter GPI anchor biosynthesis and are associated with paroxysmal nocturnal hemoglobinura (PNH) (Lee (2014) PMID:25244089; Mortazavi (2000) PMID:10627475; Araten (1999) PMID:10220445; Takeda (1993) PMID:8500164).	NA
chr15	73994673	74047827	plus	No	Yes	Yes	No	No	PML	Gene fusion GOF	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute promyelocytic leukaemia with PML::RARA fusion, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Acute promyelocytic leukemia (APL) with t(15;17)(q24.1;q21.2)/PML::RARA = 10%, (ICC, PMID: 35767897).	NA	NA	NA	NA	APL	Optical Genome Mapping detected a translocation t(15;17)(q24;q21) with a variant allele frequency (VAF) of [%]. The t(15;17) is a recurrent abnormality fusing the PML and RARA genes (canonical fusion). In the context of AML it is considered to have a favorable prognosis according to the ELN 2022. (PMID: 35797463).

	NA
chr17	60600192	60666280	plus	Expanded	No	Yes	No	No	PPM1D	LOF	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3069202	3438621	plus	No	No	Yes	No	No	PRDM16	FUS	1A if fused with RPN1, otherwise, 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(1;3)(p36.3;q21.3) with a variant allele frequency (VAF) of [%]. The t(1;3)(p36.3;q21.3) is a rare, recurrent abnormality resulting in a PRDM16::RPN1 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr4	81087374	81215222	minus	No	No	Yes	No	No	PRKG2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	49623414	49644669	plus	Core	No	No	No	No	PRPF40B	NA	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	1650628	1684867	minus	No	No	Yes	No	No	PRPF8	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	87863625	87971930	plus	Core	No	No	Yes	No	PTEN	&, Promoter	3A	None	NA	NA	NA	NA	NA	NA	AML	PTEN mutations are rare in AML cases. The predictive and prognostic significance of PTEN mutations in AML remain uncertain.	NA
chr12	112418946	112509918	plus	Core	No	Yes	Yes	No	PTPN11	GOF	1B for MDS and AML, 3A for MPN	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	PTPN11 mutations are identified in ~5% of AML cases (Hou (2008) PMID: 1797295). In AML, PTPN11 mutations have been associated with a poor prognosis (Alfayez (2020) PMID: 32561839). Although PTPN11 mutations are rare in adult MDS, they are identified in ~10% of pediatric MDS and in ~34% of non-syndromic JMML (Tartaglia (2003) PMID: 12717436). PTPN11 mutation have been correlated with poorer overall survival, however, PTPN11 status should not be used to determine the effectiveness of hypomethylating agents (NCCN Guidelines - MDS 2022). Although PTPN11 mutations are rare in MPN, they are identified in ~34% of non-syndromic JMML (Tartaglia (2003) PMID: 12717436). The predictive and prognostic significance of PTPN11 mutations in MPN remain uncertain.	NA
chr17	5282283	5386340	plus	No	No	Yes	No	No	RABEP1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	116845933	116874776	minus	Core	No	Yes	Yes	Yes	RAD21	LOF	3A	None	NA	NA	NA	NA	NA	NA	AML and MDS	AD21 mutations are identified in approximately 4-5% of AML cases. The predictive and prognostic significance of RAD21 mutations in AML remain uncertain (Tsai (2017) PMID:29288251; Thol (2014) PMID:24335498). Mutations in cohesin complex genes, including RAD21, are identified in approximately 8-12% of MDS cases (Kon (2013) PMID:23955599; Thota (2014) PMID:25006131). Although one study identified an association between cohesin complex mutations and a decreased overall survival (Thota (2014) PMID:25006131) there is insufficient data on the prognosis and predictive significance of cohesion complex gene mutation in MDS.	NA
chr17	40309180	40357643	plus	No	Yes	Yes	No	No	RARA	Gene fusion GOF	1A	Arsenic Trioxide	Acute myeloid leukaemia with defining genetic abnormalities; Acute promyelocytic leukaemia with PML::RARA fusion, (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Acute promyelocytic leukemia (APL) with t(15;17)(q24.1;q21.2)/PML::RARA = 10%; APL with other RARA rearrangements* = 10%, (ICC, PMID: 35767897).	PML, BCOR, FIP1L1, TBL1XRA, STAT3, STAT5B, ZBTB16, NPM1, IRF2BP2	NA	NA	NA	APL, AML	Optical Genome Mapping detected a translocation t(15;17)(q24;q21) or t(5;17)(q35.1;q21.2) with a variant allele frequency (VAF) of [%]. The t(15;17) is a recurrent abnormality fusing the PML and RARA genes (canonical fusion) or forming a NPM1::RARA fusion. In the context of AML, PML::RARA is considered to have a favorable prognosis and NPM1::RARA prognosis is unclear according to the ELN 2022. The NPM1::RARA, ZBTB16::RARA, STAT5B::RARA, STAT3::RARA, TBL1XR1::RARA, FIP1L1::RARA, BCOR::RARA fusions are rare, atypical, but recurrent variant RARA translocations (PMID: 35797463).

	NA
chr13	48303750	48481890	plus	No	No	Yes	No	Yes	RB1	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
